Region,Resource,Zone,Cluster,AnnualSum
EIC,EIC_batteries_1,1,1,-5.3343594377925545e7
EIC,EIC_biomass_1,1,1,0.0
EIC,EIC_conventional_hydroelectric_1,1,1,0.0
EIC,EIC_conventional_steam_coal_1,1,1,0.0
EIC,EIC_conventional_steam_coal_2,1,2,0.0
EIC,EIC_hydroelectric_pumped_storage_1,1,1,-2.70238068209066e9
EIC,EIC_natural_gas_fired_combined_cycle_1,1,1,0.0
EIC,EIC_natural_gas_fired_combined_cycle_2,1,2,0.0
EIC,EIC_natural_gas_fired_combustion_turbine_1,1,1,0.0
EIC,EIC_natural_gas_fired_combustion_turbine_2,1,2,0.0
EIC,EIC_natural_gas_internal_combustion_engine_1,1,1,0.0
EIC,EIC_natural_gas_steam_turbine_1,1,1,0.0
EIC,EIC_nuclear_1,1,1,0.0
EIC,EIC_offshore_wind_turbine_1,1,1,0.0
EIC,EIC_onshore_wind_turbine_1,1,1,0.0
EIC,EIC_petroleum_liquids_1,1,1,0.0
EIC,EIC_small_hydroelectric_1,1,1,0.0
EIC,EIC_solar_photovoltaic_1,1,1,0.0
TRE,TRE_batteries_1,2,1,3.990913282572808e6
TRE,TRE_biomass_1,2,1,0.0
TRE,TRE_conventional_hydroelectric_1,2,1,0.0
TRE,TRE_conventional_steam_coal_1,2,1,0.0
TRE,TRE_conventional_steam_coal_2,2,2,0.0
TRE,TRE_natural_gas_fired_combined_cycle_1,2,1,0.0
TRE,TRE_natural_gas_fired_combined_cycle_2,2,2,0.0
TRE,TRE_natural_gas_fired_combustion_turbine_1,2,1,0.0
TRE,TRE_natural_gas_fired_combustion_turbine_2,2,2,0.0
TRE,TRE_natural_gas_internal_combustion_engine_1,2,1,0.0
TRE,TRE_natural_gas_steam_turbine_1,2,1,0.0
TRE,TRE_nuclear_1,2,1,0.0
TRE,TRE_onshore_wind_turbine_1,2,1,0.0
TRE,TRE_petroleum_liquids_1,2,1,0.0
TRE,TRE_small_hydroelectric_1,2,1,0.0
TRE,TRE_solar_photovoltaic_1,2,1,0.0
WECC,WECC_batteries_1,3,1,1.0930291918044329e7
WECC,WECC_biomass_1,3,1,0.0
WECC,WECC_conventional_hydroelectric_1,3,1,0.0
WECC,WECC_conventional_steam_coal_1,3,1,0.0
