Region,Resource,Zone,Cluster,AnnualSum
EIC,EIC_batteries_1,1,1,-1.5905220730696023e7
EIC,EIC_biomass_1,1,1,5.021902583090407e8
EIC,EIC_conventional_hydroelectric_1,1,1,3.116048699993376e9
EIC,EIC_conventional_steam_coal_1,1,1,0.0
EIC,EIC_conventional_steam_coal_2,1,2,0.0
EIC,EIC_hydroelectric_pumped_storage_1,1,1,176305.61143816414
EIC,EIC_natural_gas_fired_combined_cycle_1,1,1,0.0
EIC,EIC_natural_gas_fired_combined_cycle_2,1,2,0.0
EIC,EIC_natural_gas_fired_combustion_turbine_1,1,1,0.0
EIC,EIC_natural_gas_fired_combustion_turbine_2,1,2,0.0
EIC,EIC_natural_gas_internal_combustion_engine_1,1,1,0.0
EIC,EIC_natural_gas_steam_turbine_1,1,1,0.0
EIC,EIC_nuclear_1,1,1,3.6549127393311935e10
EIC,EIC_offshore_wind_turbine_1,1,1,1.2987278382272739e7
EIC,EIC_onshore_wind_turbine_1,1,1,4.838873344530882e9
EIC,EIC_petroleum_liquids_1,1,1,0.0
EIC,EIC_small_hydroelectric_1,1,1,1.382332936562031e8
EIC,EIC_solar_photovoltaic_1,1,1,7.406821475112425e8
TRE,TRE_batteries_1,2,1,1.9303657892003175e7
TRE,TRE_biomass_1,2,1,2.3617375161392003e7
TRE,TRE_conventional_hydroelectric_1,2,1,2.0514283608430922e7
TRE,TRE_conventional_steam_coal_1,2,1,0.0
TRE,TRE_conventional_steam_coal_2,2,2,0.0
TRE,TRE_natural_gas_fired_combined_cycle_1,2,1,0.0
TRE,TRE_natural_gas_fired_combined_cycle_2,2,2,0.0
TRE,TRE_natural_gas_fired_combustion_turbine_1,2,1,0.0
TRE,TRE_natural_gas_fired_combustion_turbine_2,2,2,0.0
TRE,TRE_natural_gas_internal_combustion_engine_1,2,1,0.0
TRE,TRE_natural_gas_steam_turbine_1,2,1,0.0
TRE,TRE_nuclear_1,2,1,2.563233344587549e9
TRE,TRE_onshore_wind_turbine_1,2,1,4.255422890259533e9
TRE,TRE_petroleum_liquids_1,2,1,0.0
TRE,TRE_small_hydroelectric_1,2,1,351208.53083055676
TRE,TRE_solar_photovoltaic_1,2,1,2.956778395709137e8
WECC,WECC_batteries_1,3,1,8.943150291156082e7
WECC,WECC_biomass_1,3,1,2.860384566128412e8
WECC,WECC_conventional_hydroelectric_1,3,1,7.982632590084791e9
WECC,WECC_conventional_steam_coal_1,3,1,0.0
WECC,WECC_conventional_steam_coal_2,3,2,0.0
WECC,WECC_geothermal_1,3,1,0.0
WECC,WECC_hydroelectric_pumped_storage_1,3,1,7.832167930855259e8
