Zone,1,2,3
t1,-2.5623850023561644e-7,-1.8361089806640531e-6,-9.78048125580556e-7
t2,-2.8565570586102394e-7,-1.9884583161545226e-6,-1.0680614669702635e-6
t3,-2.8192069508424045e-7,-2.039700457828453e-6,-1.1286967190087521e-6
t4,-2.7657348296718116e-7,-2.1348916908287097e-6,-1.2093319950063925e-6
t5,-2.5809458094480257e-7,-2.116380451765757e-6,-1.2152244305438912e-6
t6,-2.4842519353500183e-7,-2.063392137137141e-6,-1.3402806392467344e-6
t7,-2.1542323239691628e-7,-2.000309631591347e-6,-1.3251611029328035e-6
t8,-1.9312990761852259e-7,-1.9215027591754316e-6,-1.2927029902730434e-6
t9,-2.1098295905057998e-7,-1.8694556151290106e-6,-1.218345266076783e-6
t10,-1.985233659530421e-7,-1.8576353669378401e-6,-1.1021315785985846e-6
t11,-2.1678494795455056e-7,-1.5887457663253004e-6,-1.118442390216116e-6
t12,-2.0265699850883872e-7,-1.50952154202556e-6,-1.03558502893662e-6
t13,-1.737814871096215e-7,-1.3678536395165263e-6,-9.900031875665588e-7
t14,-1.4377203141417116e-7,-1.3449792367892673e-6,-9.301275281760255e-7
t15,-1.2620361919883474e-7,-1.3613567143121671e-6,-8.457317705399885e-7
t16,-1.269554490961639e-7,-1.2239386295421895e-6,-8.85608595431968e-7
t17,-9.980431466565249e-8,-1.144674189108199e-6,-8.518435763040543e-7
t18,-8.933311101434331e-8,-1.0792336740189106e-6,-8.014352380792654e-7
t19,-9.164653887143016e-8,-1.0579841426188306e-6,-7.33564932636372e-7
t20,-9.453053706911025e-8,-1.1644925311973296e-6,-6.80020196683606e-7
t21,-1.2607132429967406e-7,-1.230529692769013e-6,-7.556689800318557e-7
t22,-1.329334756409098e-7,-1.3293774767208356e-6,-8.479690862810653e-7
t23,-1.4486341668602558e-7,-1.4802389477200845e-6,-8.574181236997583e-7
t24,-1.7652909807295436e-7,-1.671307978985485e-6,-9.385475116851261e-7
t25,-5.587216185801503e-5,-0.0005503753353313753,-0.00023333908192298358
t26,-6.369614077412242e-5,-0.000504862450094748,-0.00024911011313411425
t27,-6.671844276307673e-5,-0.0005452278946169683,-0.00026749732960086527
t28,-6.971115647632837e-5,-0.0005769194599237863,-0.0002867458657937838
t29,-7.42992808168838e-5,-0.0006436562656222188,-0.000296840437658007
t30,-6.40020265785312e-5,-0.0005435718326676502,-0.000297346354142975
t31,-5.5609965015645785e-5,-0.0005385712258032095,-0.0002934783358777165
t32,-3.899070729631737e-5,-0.0005089191315657122,-0.0002860691176129243
t33,-3.5271373958357026e-5,-0.0004414231202597656,-0.0002702489020655245
t34,-3.590874244317756e-5,-0.0004568565476217027,-0.0002469566454349856
t35,-3.646142199213778e-5,-0.0004249242718515528,-0.00021962319804369907
t36,-3.37400527879879e-5,-0.0004276155646899003,-0.0002050663640772428
t37,-3.161142556340224e-5,-0.0003930821765845619,-0.00019658465604723116
t38,-2.8644989508481465e-5,-0.00037646633286066806,-0.00018813709201688094
t39,-2.680169970279677e-5,-0.0003713144054069631,-0.0001825218553095152
t40,-2.6626017419814423e-5,-0.00030051448169557795,-0.00018586384071003575
t41,-2.599542460326856e-5,-0.00029169539629575426,-0.00018492507559382494
t42,-2.5612906704670005e-5,-0.00029318377306238367,-0.00017048052526835803
t43,-2.881102665207246e-5,-0.00029832861941006506,-0.00015592089982232254
t44,-3.2804723135035094e-5,-0.0003425605636428646,-0.00014655109350946146
t45,-3.8791617744283815e-5,-0.0003330811437227597,-0.0001632331743126323
t46,-4.11806697879068e-5,-0.000393177672763494,-0.00019160718487212325
t47,-4.781010018018455e-5,-0.0004743620914943285,-0.00021135092400201858
t48,-5.651412769422876e-5,-0.0005688441535216138,-0.00021570815072337194
t49,-6.249308031416454e-5,-0.0004068658186961353,-0.00019340608692238023
t50,-7.374481773787563e-5,-0.0004441374550735397,-0.00021815296019641583
t51,-8.237885678002123e-5,-0.0005094736690176673,-0.00023947530079178255
