Time,Weight
1,231.0
2,231.0
3,231.0
4,231.0
5,231.0
6,231.0
7,231.0
8,231.0
9,231.0
10,231.0
11,231.0
12,231.0
13,231.0
14,231.0
15,231.0
16,231.0
17,231.0
18,231.0
19,231.0
20,231.0
21,231.0
22,231.0
23,231.0
24,231.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,131.0
74,131.0
75,131.0
76,131.0
77,131.0
78,131.0
79,131.0
80,131.0
81,131.0
82,131.0
83,131.0
84,131.0
85,131.0
86,131.0
87,131.0
88,131.0
89,131.0
90,131.0
91,131.0
92,131.0
93,131.0
94,131.0
95,131.0
96,131.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,1.0
109,1.0
110,1.0
111,1.0
112,1.0
113,1.0
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
