Resource,EIC_storage_metalair_advanced_0,EIC_landbasedwind_class1_moderate_0,EIC_landbasedwind_class1_moderate_1,EIC_landbasedwind_class1_moderate_2,EIC_landbasedwind_class1_moderate_3,EIC_landbasedwind_class1_moderate_4,EIC_landbasedwind_class1_moderate_5,EIC_landbasedwind_class1_moderate_6,EIC_landbasedwind_class1_moderate_7,EIC_landbasedwind_class1_moderate_8,EIC_landbasedwind_class1_moderate_9,EIC_utilitypv_class1_moderate_0,EIC_utilitypv_class1_moderate_1,EIC_utilitypv_class1_moderate_2,EIC_utilitypv_class1_moderate_3,EIC_utilitypv_class1_moderate_4,EIC_utilitypv_class1_moderate_5,EIC_utilitypv_class1_moderate_6,EIC_utilitypv_class1_moderate_7,EIC_utilitypv_class1_moderate_8,EIC_utilitypv_class1_moderate_9,TRE_storage_metalair_advanced_0,TRE_landbasedwind_class1_moderate_0,TRE_landbasedwind_class1_moderate_1,TRE_landbasedwind_class1_moderate_2,TRE_landbasedwind_class1_moderate_3,TRE_landbasedwind_class1_moderate_4,TRE_landbasedwind_class1_moderate_5,TRE_landbasedwind_class1_moderate_6,TRE_landbasedwind_class1_moderate_7,TRE_landbasedwind_class1_moderate_8,TRE_landbasedwind_class1_moderate_9,TRE_utilitypv_class1_moderate_0,TRE_utilitypv_class1_moderate_1,TRE_utilitypv_class1_moderate_2,TRE_utilitypv_class1_moderate_3,TRE_utilitypv_class1_moderate_4,TRE_utilitypv_class1_moderate_5,TRE_utilitypv_class1_moderate_6,TRE_utilitypv_class1_moderate_7,TRE_utilitypv_class1_moderate_8,TRE_utilitypv_class1_moderate_9,WECC_storage_metalair_advanced_0,WECC_landbasedwind_class1_moderate_0,WECC_landbasedwind_class1_moderate_1,WECC_landbasedwind_class1_moderate_2,WECC_landbasedwind_class1_moderate_3,WECC_landbasedwind_class1_moderate_4,WECC_landbasedwind_class1_moderate_5,WECC_landbasedwind_class1_moderate_6,WECC_landbasedwind_class1_moderate_7,WECC_landbasedwind_class1_moderate_8,WECC_landbasedwind_class1_moderate_9,WECC_utilitypv_class1_moderate_0,WECC_utilitypv_class1_moderate_1,WECC_utilitypv_class1_moderate_2,WECC_utilitypv_class1_moderate_3,WECC_utilitypv_class1_moderate_4,WECC_utilitypv_class1_moderate_5,WECC_utilitypv_class1_moderate_6,WECC_utilitypv_class1_moderate_7,WECC_utilitypv_class1_moderate_8,WECC_utilitypv_class1_moderate_9,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
AnnualSum,0.0,13713.890936645701,1.1263860618186207e8,3235.787295201544,5921.401246041164,2205.521544381084,8752.48716207208,972.7792897913952,4170.0180793915315,596.6949845264317,1295.2872147366602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.64700039014929e7,1.268436871485896e8,8.338118949398427e7,107461.43767084932,93392.46528585815,4.03569456056437e7,9056.516045466245,5.5623764127737716e7,2334.656148979787,1404.356638409097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0809664540443534e8,1.6340277306174135e8,20579.798347905104,112401.88392393682,2242.869447673332,3021.1035973184535,1003.4699272963483,1578.0822067693816,769.47295837708,1076.2122063711438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0772108011176448e9
t1,0.0,3.492765473272857,24095.26650654716,0.8371552632655015,1.4940514830549891,0.5431222844950652,1.7926897164786832,0.20950645995585157,0.9540842394260749,0.1262723253328388,0.28636141056159636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14936.326689294949,21579.576103928608,14653.384908213788,27.753552344811872,25.269653106857984,7118.5538845766005,2.666642932657498,7958.545188470503,0.7045200099354629,0.16483155699162666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71409.35480869509,24526.48003134907,3.3752636923790376,19.051245357158738,0.32665622069119704,0.48675210561442994,0.14195759294326488,0.20833431549775033,0.1358544518398085,0.15096779748238362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186367.66036121646
t2,0.0,3.5120566934209547,23700.724127368405,0.8003437520148795,1.5340497980136623,0.5384703964042405,1.863719997009833,0.2257768508126568,1.0381698844400964,0.12533769645504633,0.2864232173920335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14935.69196330393,21578.99300152607,14652.830563755564,27.19616321566651,24.70862447330551,7118.0238770388305,2.3365505278348633,8243.410939366815,0.4129705588342427,0.07436043692431026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70091.02791672092,26842.08492622155,3.335874720650571,18.320820954627543,0.31679345832384975,0.5023391888999963,0.13524606862893077,0.2175426930722733,0.12957480864554055,0.14978535634741552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187250.54831004978
t3,0.0,3.3234454595188567,21699.82772702513,0.7556540002184444,1.4551265940964975,0.517291867171743,1.9821933312558513,0.21160984841543784,1.106100874974482,0.11158141515745537,0.27583436041243425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14293.82825517066,20932.94602165819,14168.526698256263,6.550767857250303,7.526625985962193,6543.306824634368,0.9673328742419552,8147.121885985785,0.28316030424344796,0.09121481494578737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65696.6051547371,24668.252048030834,3.0578988458993184,16.37274531954212,0.30192642851004287,0.515800528081224,0.12925711158495468,0.25456308716553333,0.11580775313925598,0.13874207538224897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176196.45929623555
t4,0.0,3.262342661040403,21333.466728240986,0.7058166813500935,1.4178442426818019,0.4971004873295311,2.0376261189726534,0.20028800019802262,1.0308038039756646,0.09631991741099054,0.27161168824240534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13013.815734963833,20893.666485512105,12755.976512820867,6.601484035484795,6.631774618407989,6475.077877282213,0.9408199837751399,6629.284621497042,0.28213431532603345,0.12051127675268083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62950.090892945664,23108.76337357882,3.0582498261516804,15.106490870429838,0.2846184349795391,0.5240989300377825,0.1240078976051664,0.26871835325805193,0.10529185958283885,0.13483051470089427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167203.84501135923
t5,0.0,3.1611373225387887,20572.560549386824,0.6899208171664527,1.3825528162740999,0.5048915522266472,1.9418412917718264,0.1952321414290798,0.9960416092453821,0.08036244563021225,0.2517815115767328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13989.191818527237,19143.312183963662,10675.765289922509,7.169027571419467,5.905185302111441,6446.517829663967,0.8474276706227551,8082.220503189625,0.25234288940228483,0.13145363248296169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62950.09029611624,21974.588991201595,3.152755336851503,14.960035207550549,0.260374143263279,0.4563877272808148,0.11290736143298488,0.23139145577518294,0.09013170150401349,0.11647822378933753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163877.137121703
t6,0.0,3.312230621433656,20516.196898764378,0.7146195019809629,1.3740751320936748,0.4652632920409584,1.9382369906379278,0.18468184994843723,0.9144819597824301,0.08495309500555431,0.24883679605864856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12036.74014136081,17819.51664423385,9092.415612086723,7.84663939503867,4.984975896221108,6283.680193689258,0.6979556542003532,8203.021952192521,0.23416045140574138,0.1412301019354975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61082.460390192566,21974.589652835897,2.9464699483381764,13.499005207783918,0.245904659401904,0.4038422699522331,0.10864202297777092,0.24294247924201523,0.08319788621524529,0.11269289631928772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157049.40652346396
t7,0.0,3.138599648519888,20290.740995330834,0.6643024317593847,1.1804461401471738,0.4563038004184481,1.7402823693233151,0.17914919436204146,0.7821212012743395,0.09977321599314429,0.23724734336573547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10023.83404163595,16930.45068034542,7624.106451016102,23.38086609820504,7.796958005918794,5848.506876604157,1.167561787601906,7351.099177807275,0.37446004474999,0.21414844089606339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52183.75223776072,20178.815020472044,2.6363892658428485,12.330035980688995,0.23490618560641224,0.3177410067574913,0.10280400687061757,0.19310534176199215,0.08072414371768794,0.08137676351612871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140488.6947833898
t8,0.0,2.301433629972649,18261.552654905932,0.4457616948149282,0.9193175356224919,0.2636442200887213,1.1382974376075023,0.08383024687531841,0.41155379425766114,0.05168004387727061,0.1881654553619393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8313.759722673765,15617.60049027835,5814.917492661212,5.665031273276439,2.4455092535312115,5432.084279353232,0.3911827860880106,8730.925449419643,0.13654249150939188,0.1322991746396809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44054.06913701753,18004.982849430533,2.588976450035208,10.576492425705068,0.21142699697986833,0.18383969074581585,0.08840670338483281,0.11727886154105141,0.06888917070559779,0.0636422750347422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124258.36527735186
t9,0.0,1.0963670938914518,12484.318499587742,0.16251892344223035,0.4864195185419575,0.06614716417365088,0.500103864765556,0.02643494740730338,0.24779885016628062,0.030899403141951186,0.13271656781887087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.060185462761,13754.860567477792,2470.5441174285475,6.158561962864269,1.1428429822373265,2798.9465751187167,0.27453161299125395,5000.574189698252,0.08602470369192419,0.09621094603653196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27025.675131571083,17154.35416789606,2.0553435304764904,7.361375164481833,0.18650234422094789,0.08661657759777204,0.0805200545613266,0.06391193590349836,0.05762455872450201,0.06368294217193023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85758.79658989026
t10,0.0,1.1891086640646504,11807.956914478616,0.13689011679479285,0.4817599350590787,0.03243396271118935,0.5033566810207061,0.017941045443074965,0.3099857392807587,0.025520203222609124,0.10555255861268194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6048.201430518556,14203.790942287675,3523.3436947931627,6.5510035945150165,1.786923153654444,2682.142315696671,0.33799838206744004,5247.344872032542,0.09876854606836152,0.1222263242766521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15819.838185390314,15027.753520516764,1.1883741234715577,4.827502518219618,0.09676527838649279,0.05646000424415789,0.03645951713083966,0.04784282955365983,0.0311109252145527,0.05912050328925199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74378.4149803206
t11,0.0,1.0870719448259316,11864.321335996476,0.15622679259266273,0.529774070730932,0.027977662464336937,0.6879745314595722,0.021946045168501634,0.3065445507182681,0.024541153194142535,0.1264508007349786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5395.009747195368,10499.454648256946,4899.607009692104,5.969396337535855,3.5353322963575846,2583.355789771269,0.4347594892123475,4530.098428761473,0.11626418065871597,0.2030924687818166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14836.423401534132,12633.86838476866,0.4192933503175083,1.8780721335626671,0.04395797922735053,0.060054698297981046,0.01766411788400091,0.04546282780264978,0.01694309781591946,0.04517955721373155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67257.89272606299
t12,0.0,0.7626372361509326,9130.697468745495,0.12441621482111216,0.3954126242456612,0.025743581517323214,0.5818455487002346,0.014790453764147542,0.28115464005606033,0.016777413054551847,0.09759156754598156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4507.472841138199,7634.330545446912,5002.387202348143,4.106611483411196,3.2743169313853344,1672.3240777860797,0.4320401395900819,2032.4667678959695,0.12022271972263192,0.16846021209209855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3154.3240464561773,2987.8018152081895,0.5805920528905546,2.04235291281671,0.04195532233117481,0.09833342189387008,0.018740892068816045,0.06499159781814708,0.017540181388547144,0.03604053149047849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36135.107332703934
