Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
EIC,EIC_batteries_1,1,1,1,0.0
EIC,EIC_biomass_1,1,1,2,0.0
EIC,EIC_conventional_hydroelectric_1,1,1,3,0.0
EIC,EIC_conventional_steam_coal_1,1,1,4,0.0
EIC,EIC_conventional_steam_coal_2,1,2,5,0.0
EIC,EIC_hydroelectric_pumped_storage_1,1,1,6,0.0
EIC,EIC_natural_gas_fired_combined_cycle_1,1,1,7,0.0
EIC,EIC_natural_gas_fired_combined_cycle_2,1,2,8,0.0
EIC,EIC_natural_gas_fired_combustion_turbine_1,1,1,9,0.0
EIC,EIC_natural_gas_fired_combustion_turbine_2,1,2,10,0.0
EIC,EIC_natural_gas_internal_combustion_engine_1,1,1,11,0.0
EIC,EIC_natural_gas_steam_turbine_1,1,1,12,0.0
EIC,EIC_nuclear_1,1,1,13,0.0
EIC,EIC_offshore_wind_turbine_1,1,1,14,0.0
EIC,EIC_onshore_wind_turbine_1,1,1,15,0.0
EIC,EIC_petroleum_liquids_1,1,1,16,0.0
EIC,EIC_small_hydroelectric_1,1,1,17,0.0
EIC,EIC_solar_photovoltaic_1,1,1,18,0.0
TRE,TRE_batteries_1,2,1,19,0.0
TRE,TRE_biomass_1,2,1,20,0.0
TRE,TRE_conventional_hydroelectric_1,2,1,21,0.0
TRE,TRE_conventional_steam_coal_1,2,1,22,0.0
TRE,TRE_conventional_steam_coal_2,2,2,23,0.0
TRE,TRE_natural_gas_fired_combined_cycle_1,2,1,24,0.0
TRE,TRE_natural_gas_fired_combined_cycle_2,2,2,25,0.0
TRE,TRE_natural_gas_fired_combustion_turbine_1,2,1,26,0.0
TRE,TRE_natural_gas_fired_combustion_turbine_2,2,2,27,0.0
TRE,TRE_natural_gas_internal_combustion_engine_1,2,1,28,0.0
TRE,TRE_natural_gas_steam_turbine_1,2,1,29,0.0
TRE,TRE_nuclear_1,2,1,30,0.0
TRE,TRE_onshore_wind_turbine_1,2,1,31,0.0
TRE,TRE_petroleum_liquids_1,2,1,32,0.0
TRE,TRE_small_hydroelectric_1,2,1,33,0.0
TRE,TRE_solar_photovoltaic_1,2,1,34,0.0
WECC,WECC_batteries_1,3,1,35,0.0
WECC,WECC_biomass_1,3,1,36,0.0
WECC,WECC_conventional_hydroelectric_1,3,1,37,0.0
WECC,WECC_conventional_steam_coal_1,3,1,38,0.0
WECC,WECC_conventional_steam_coal_2,3,2,39,0.0
WECC,WECC_geothermal_1,3,1,40,0.0
