Resource,Zone,Resource_Type,Cluster,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
EIC_batteries_1,1,Batteries,1,712.2,0.0,0.0,712.2,1424.4,0.0,0.0,1424.4,0.0,0.0,0.0,0.0
EIC_biomass_1,1,Biomass,1,1722.5,0.0,0.0,1722.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_conventional_hydroelectric_1,1,Conventional Hydroelectric,1,24200.8,0.0,0.0,24200.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_conventional_steam_coal_1,1,Conventional Steam Coal,1,12806.9,12806.900000000001,0.0,-1.8189894035458565e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_conventional_steam_coal_2,1,Conventional Steam Coal,2,109345.4,94865.60028056895,0.0,14479.799719431045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_hydroelectric_pumped_storage_1,1,Hydroelectric Pumped Storage,1,17783.1,0.0,0.0,17783.1,275638.0,0.0,0.0,275638.0,0.0,0.0,0.0,0.0
EIC_natural_gas_fired_combined_cycle_1,1,Natural Gas Fired Combined Cycle,1,27155.3,0.000869280375658979,0.0,27155.299130719624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_natural_gas_fired_combined_cycle_2,1,Natural Gas Fired Combined Cycle,2,169897.4,0.00013609724989353505,0.0,169897.39986390274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_natural_gas_fired_combustion_turbine_1,1,Natural Gas Fired Combustion Turbine,1,98926.5,9.985318357464785e-5,0.0,98926.49990014681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_natural_gas_fired_combustion_turbine_2,1,Natural Gas Fired Combustion Turbine,2,10412.9,0.0003027683262099993,0.0,10412.899697231673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_natural_gas_internal_combustion_engine_1,1,Natural Gas Internal Combustion Engine,1,2578.5,0.0,0.0,2578.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_natural_gas_steam_turbine_1,1,Natural Gas Steam Turbine,1,39625.2,0.0151609403762306,0.0,39625.18483905962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_nuclear_1,1,Nuclear,1,82406.6,82405.84903275351,0.0,0.750967246494838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_offshore_wind_turbine_1,1,Offshore Wind Turbine,1,29.3,4.0413470425052476e-5,0.0,29.299959586529575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_onshore_wind_turbine_1,1,Onshore Wind Turbine,1,47407.4,0.0013944031747666953,0.0,47407.39860559683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_petroleum_liquids_1,1,Petroleum Liquids,1,23196.2,0.0054596128813753295,0.0,23196.194540387118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_small_hydroelectric_1,1,Small Hydroelectric,1,1672.2,0.0,0.0,1672.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIC_solar_photovoltaic_1,1,Solar Photovoltaic,1,8533.9,0.0006469733433185772,0.0,8533.899353026656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_batteries_1,2,Batteries,1,360.7,0.0,0.0,360.7,721.4,0.0,0.0,721.4,0.0,0.0,0.0,0.0
TRE_biomass_1,2,Biomass,1,44.5,0.0,0.0,44.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_conventional_hydroelectric_1,2,Conventional Hydroelectric,1,477.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_conventional_steam_coal_1,2,Conventional Steam Coal,1,5063.6,5063.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_conventional_steam_coal_2,2,Conventional Steam Coal,2,3713.0,3713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRE_natural_gas_fired_combined_cycle_1,2,Natural Gas Fired Combined Cycle,1,30139.1,0.00016350282509748366,0.0,30139.099836497175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
