Time_Index,EIC_landbasedwind_class1_moderate_0,EIC_landbasedwind_class1_moderate_1,EIC_landbasedwind_class1_moderate_2,EIC_landbasedwind_class1_moderate_3,EIC_landbasedwind_class1_moderate_4,EIC_landbasedwind_class1_moderate_5,EIC_landbasedwind_class1_moderate_6,EIC_landbasedwind_class1_moderate_7,EIC_landbasedwind_class1_moderate_8,EIC_landbasedwind_class1_moderate_9,TRE_landbasedwind_class1_moderate_0,TRE_landbasedwind_class1_moderate_1,TRE_landbasedwind_class1_moderate_2,TRE_landbasedwind_class1_moderate_3,TRE_landbasedwind_class1_moderate_4,TRE_landbasedwind_class1_moderate_5,TRE_landbasedwind_class1_moderate_6,TRE_landbasedwind_class1_moderate_7,TRE_landbasedwind_class1_moderate_8,TRE_landbasedwind_class1_moderate_9,WECC_landbasedwind_class1_moderate_0,WECC_landbasedwind_class1_moderate_1,WECC_landbasedwind_class1_moderate_2,WECC_landbasedwind_class1_moderate_3,WECC_landbasedwind_class1_moderate_4,WECC_landbasedwind_class1_moderate_5,WECC_landbasedwind_class1_moderate_6,WECC_landbasedwind_class1_moderate_7,WECC_landbasedwind_class1_moderate_8,WECC_landbasedwind_class1_moderate_9
1,0.554,0.588,0.575,0.572,0.624,0.452,0.7,0.642,0.844,0.661,0.316,0.458,0.341,0.316,0.327,0.392,0.378,0.468,0.465,0.115,0.556,0.812,0.467,0.319,0.359,0.902,0.31,0.929,0.248,0.892
2,0.563,0.594,0.589,0.565,0.574,0.439,0.662,0.612,0.845,0.646,0.309,0.426,0.303,0.296,0.299,0.318,0.402,0.263,0.472,0.206,0.62,0.806,0.497,0.377,0.401,0.88,0.342,0.927,0.274,0.902
3,0.545,0.596,0.58,0.536,0.566,0.398,0.662,0.585,0.825,0.655,0.333,0.365,0.252,0.301,0.248,0.268,0.388,0.191,0.431,0.21,0.663,0.798,0.512,0.397,0.406,0.883,0.34,0.937,0.265,0.936
4,0.536,0.62,0.527,0.496,0.488,0.417,0.65,0.611,0.801,0.642,0.251,0.328,0.188,0.229,0.232,0.225,0.392,0.137,0.469,0.267,0.689,0.795,0.505,0.394,0.383,0.902,0.32,0.947,0.255,0.939
5,0.547,0.622,0.517,0.472,0.416,0.423,0.605,0.607,0.804,0.658,0.176,0.374,0.141,0.207,0.192,0.201,0.318,0.119,0.405,0.648,0.685,0.766,0.49,0.344,0.358,0.899,0.298,0.948,0.249,0.92
6,0.593,0.67,0.515,0.551,0.375,0.464,0.585,0.583,0.795,0.719,0.133,0.29,0.126,0.16,0.229,0.181,0.341,0.126,0.399,0.971,0.647,0.746,0.473,0.312,0.347,0.901,0.301,0.936,0.254,0.909
7,0.639,0.696,0.511,0.579,0.338,0.467,0.555,0.552,0.811,0.622,0.121,0.255,0.136,0.133,0.22,0.155,0.306,0.117,0.292,0.937,0.594,0.728,0.45,0.287,0.332,0.854,0.292,0.922,0.262,0.865
8,0.603,0.648,0.502,0.541,0.289,0.421,0.496,0.517,0.684,0.568,0.105,0.223,0.123,0.115,0.187,0.134,0.255,0.089,0.193,0.549,0.507,0.717,0.445,0.282,0.325,0.765,0.275,0.881,0.242,0.72
9,0.613,0.695,0.502,0.519,0.273,0.421,0.48,0.465,0.686,0.574,0.117,0.201,0.102,0.116,0.122,0.113,0.166,0.068,0.146,0.543,0.528,0.717,0.431,0.272,0.336,0.837,0.272,0.914,0.217,0.654
10,0.611,0.71,0.548,0.573,0.266,0.453,0.433,0.429,0.589,0.651,0.107,0.253,0.087,0.152,0.116,0.118,0.144,0.088,0.156,0.642,0.567,0.715,0.43,0.296,0.341,0.914,0.268,0.92,0.205,0.775
