Time,Weight
1,10.0
2,10.0
3,10.0
4,10.0
5,10.0
6,10.0
7,10.0
8,10.0
9,10.0
10,10.0
11,10.0
12,10.0
13,10.0
14,10.0
15,10.0
16,10.0
17,10.0
18,10.0
19,10.0
20,10.0
21,10.0
22,10.0
23,10.0
24,10.0
25,17.0
26,17.0
27,17.0
28,17.0
29,17.0
30,17.0
31,17.0
32,17.0
33,17.0
34,17.0
35,17.0
36,17.0
37,17.0
38,17.0
39,17.0
40,17.0
41,17.0
42,17.0
43,17.0
44,17.0
45,17.0
46,17.0
47,17.0
48,17.0
49,9.0
50,9.0
51,9.0
52,9.0
53,9.0
54,9.0
55,9.0
56,9.0
57,9.0
58,9.0
59,9.0
60,9.0
61,9.0
62,9.0
63,9.0
64,9.0
65,9.0
66,9.0
67,9.0
68,9.0
69,9.0
70,9.0
71,9.0
72,9.0
73,5.0
74,5.0
75,5.0
76,5.0
77,5.0
78,5.0
79,5.0
80,5.0
81,5.0
82,5.0
83,5.0
84,5.0
85,5.0
86,5.0
87,5.0
88,5.0
89,5.0
90,5.0
91,5.0
92,5.0
93,5.0
94,5.0
95,5.0
96,5.0
97,11.0
98,11.0
99,11.0
100,11.0
101,11.0
102,11.0
103,11.0
104,11.0
105,11.0
106,11.0
107,11.0
108,11.0
109,11.0
110,11.0
111,11.0
112,11.0
113,11.0
114,11.0
115,11.0
116,11.0
117,11.0
118,11.0
119,11.0
120,11.0
121,13.0
122,13.0
123,13.0
124,13.0
125,13.0
126,13.0
127,13.0
128,13.0
129,13.0
130,13.0
131,13.0
132,13.0
133,13.0
134,13.0
135,13.0
136,13.0
137,13.0
138,13.0
139,13.0
140,13.0
141,13.0
142,13.0
143,13.0
144,13.0
145,22.0
146,22.0
147,22.0
148,22.0
149,22.0
150,22.0
151,22.0
152,22.0
153,22.0
154,22.0
155,22.0
156,22.0
157,22.0
158,22.0
159,22.0
160,22.0
161,22.0
162,22.0
163,22.0
164,22.0
165,22.0
166,22.0
167,22.0
168,22.0
169,7.0
170,7.0
171,7.0
172,7.0
173,7.0
174,7.0
175,7.0
176,7.0
177,7.0
178,7.0
179,7.0
180,7.0
181,7.0
182,7.0
183,7.0
184,7.0
185,7.0
186,7.0
187,7.0
188,7.0
189,7.0
190,7.0
191,7.0
192,7.0
193,6.0
194,6.0
195,6.0
196,6.0
197,6.0
198,6.0
199,6.0
200,6.0
201,6.0
202,6.0
203,6.0
204,6.0
205,6.0
206,6.0
207,6.0
208,6.0
209,6.0
210,6.0
211,6.0
212,6.0
213,6.0
214,6.0
215,6.0
216,6.0
217,13.0
218,13.0
219,13.0
220,13.0
221,13.0
222,13.0
223,13.0
224,13.0
225,13.0
226,13.0
227,13.0
228,13.0
229,13.0
230,13.0
231,13.0
232,13.0
233,13.0
234,13.0
235,13.0
236,13.0
237,13.0
238,13.0
239,13.0
240,13.0
241,25.0
242,25.0
243,25.0
244,25.0
245,25.0
246,25.0
247,25.0
248,25.0
249,25.0
250,25.0
251,25.0
252,25.0
253,25.0
254,25.0
255,25.0
256,25.0
257,25.0
258,25.0
259,25.0
260,25.0
261,25.0
262,25.0
263,25.0
264,25.0
265,16.0
266,16.0
267,16.0
268,16.0
269,16.0
270,16.0
271,16.0
272,16.0
273,16.0
274,16.0
275,16.0
276,16.0
277,16.0
278,16.0
279,16.0
280,16.0
281,16.0
282,16.0
283,16.0
284,16.0
285,16.0
286,16.0
287,16.0
288,16.0
289,7.0
290,7.0
291,7.0
292,7.0
293,7.0
294,7.0
295,7.0
296,7.0
297,7.0
298,7.0
299,7.0
300,7.0
301,7.0
302,7.0
303,7.0
304,7.0
305,7.0
306,7.0
307,7.0
308,7.0
309,7.0
310,7.0
311,7.0
312,7.0
313,24.0
314,24.0
315,24.0
316,24.0
317,24.0
318,24.0
319,24.0
320,24.0
321,24.0
322,24.0
323,24.0
324,24.0
325,24.0
326,24.0
327,24.0
328,24.0
329,24.0
330,24.0
331,24.0
332,24.0
333,24.0
334,24.0
335,24.0
336,24.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,1.0
350,1.0
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
361,37.0
362,37.0
363,37.0
364,37.0
365,37.0
366,37.0
367,37.0
368,37.0
369,37.0
370,37.0
371,37.0
372,37.0
373,37.0
374,37.0
375,37.0
376,37.0
377,37.0
378,37.0
379,37.0
380,37.0
381,37.0
382,37.0
383,37.0
384,37.0
385,28.0
386,28.0
387,28.0
388,28.0
389,28.0
390,28.0
391,28.0
392,28.0
393,28.0
394,28.0
395,28.0
396,28.0
397,28.0
398,28.0
399,28.0
400,28.0
401,28.0
402,28.0
403,28.0
404,28.0
405,28.0
406,28.0
407,28.0
408,28.0
409,1.0
410,1.0
411,1.0
412,1.0
413,1.0
414,1.0
415,1.0
416,1.0
417,1.0
418,1.0
419,1.0
420,1.0
421,1.0
422,1.0
423,1.0
424,1.0
425,1.0
426,1.0
427,1.0
428,1.0
429,1.0
430,1.0
431,1.0
432,1.0
433,24.0
434,24.0
435,24.0
436,24.0
437,24.0
438,24.0
439,24.0
440,24.0
441,24.0
442,24.0
443,24.0
444,24.0
445,24.0
446,24.0
447,24.0
448,24.0
449,24.0
450,24.0
451,24.0
452,24.0
453,24.0
454,24.0
455,24.0
456,24.0
457,11.0
458,11.0
459,11.0
460,11.0
461,11.0
462,11.0
463,11.0
464,11.0
465,11.0
466,11.0
467,11.0
468,11.0
469,11.0
470,11.0
471,11.0
472,11.0
473,11.0
474,11.0
475,11.0
476,11.0
477,11.0
478,11.0
479,11.0
480,11.0
481,8.0
482,8.0
483,8.0
484,8.0
485,8.0
486,8.0
487,8.0
488,8.0
489,8.0
490,8.0
491,8.0
492,8.0
493,8.0
494,8.0
495,8.0
496,8.0
497,8.0
498,8.0
499,8.0
500,8.0
501,8.0
502,8.0
503,8.0
504,8.0
505,11.0
506,11.0
507,11.0
508,11.0
509,11.0
510,11.0
511,11.0
512,11.0
513,11.0
514,11.0
515,11.0
516,11.0
517,11.0
518,11.0
519,11.0
520,11.0
521,11.0
522,11.0
523,11.0
524,11.0
525,11.0
526,11.0
527,11.0
528,11.0
529,1.0
530,1.0
531,1.0
532,1.0
533,1.0
534,1.0
535,1.0
536,1.0
537,1.0
538,1.0
539,1.0
540,1.0
541,1.0
542,1.0
543,1.0
544,1.0
545,1.0
546,1.0
547,1.0
548,1.0
549,1.0
550,1.0
551,1.0
552,1.0
553,10.0
554,10.0
555,10.0
556,10.0
557,10.0
558,10.0
559,10.0
560,10.0
561,10.0
562,10.0
563,10.0
564,10.0
565,10.0
566,10.0
567,10.0
568,10.0
569,10.0
570,10.0
571,10.0
572,10.0
573,10.0
574,10.0
575,10.0
576,10.0
577,6.0
578,6.0
579,6.0
580,6.0
581,6.0
582,6.0
583,6.0
584,6.0
585,6.0
586,6.0
587,6.0
588,6.0
589,6.0
590,6.0
591,6.0
592,6.0
593,6.0
594,6.0
595,6.0
596,6.0
597,6.0
598,6.0
599,6.0
600,6.0
601,13.0
602,13.0
603,13.0
604,13.0
605,13.0
606,13.0
607,13.0
608,13.0
609,13.0
610,13.0
611,13.0
612,13.0
613,13.0
614,13.0
615,13.0
616,13.0
617,13.0
618,13.0
619,13.0
620,13.0
621,13.0
622,13.0
623,13.0
624,13.0
625,13.0
626,13.0
627,13.0
628,13.0
629,13.0
630,13.0
631,13.0
632,13.0
633,13.0
634,13.0
635,13.0
636,13.0
637,13.0
638,13.0
639,13.0
640,13.0
641,13.0
642,13.0
643,13.0
644,13.0
645,13.0
646,13.0
647,13.0
648,13.0
649,9.0
650,9.0
651,9.0
652,9.0
653,9.0
654,9.0
655,9.0
656,9.0
657,9.0
658,9.0
659,9.0
660,9.0
661,9.0
662,9.0
663,9.0
664,9.0
665,9.0
666,9.0
667,9.0
668,9.0
669,9.0
670,9.0
671,9.0
672,9.0
673,6.0
674,6.0
675,6.0
676,6.0
677,6.0
678,6.0
679,6.0
680,6.0
681,6.0
682,6.0
683,6.0
684,6.0
685,6.0
686,6.0
687,6.0
688,6.0
689,6.0
690,6.0
691,6.0
692,6.0
693,6.0
694,6.0
695,6.0
696,6.0
697,1.0
698,1.0
699,1.0
700,1.0
701,1.0
702,1.0
703,1.0
704,1.0
705,1.0
706,1.0
707,1.0
708,1.0
709,1.0
710,1.0
711,1.0
712,1.0
713,1.0
714,1.0
715,1.0
716,1.0
717,1.0
718,1.0
719,1.0
720,1.0
